Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động
Kỹ sư giám sát cơ điện HVAC (Điều hòa không khí và thông gió),['Hà Nội'],05/12/2024,"Điện / Điện tử / Điện lạnh , Xây dựng",Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN TCEN,"Tầng 7, Tòa nhà COMA, số 125D Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",P.HCNS,25-99,Cổ phần
Kỹ sư QS,['Hà Nội'],05/12/2024,"Điện / Điện tử / Điện lạnh , Xây dựng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN TCEN,"Tầng 7, Tòa nhà COMA, số 125D Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",P.HCNS,25-99,Cổ phần
Trưởng nhóm Digital Marketing Technical ( Leader Marketing Techinical),['Hà Nội'],05/12/2024,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,18 Tr - 28 Tr VND,1 - 3 Năm,Trưởng nhóm / Giám sát,03/01/2025,CÔNG TY TNHH SEMPIRE VIỆT NAM,21 Tô Vĩnh Diện - Thanh Xuân,Ms.Nguyệt,25-99,Trách nhiệm hữu hạn
Nhân viên đấu thầu cơ điện (Làm việc tại Hà Nội),['Hà Nội'],05/12/2024,"Điện / Điện tử / Điện lạnh , Xây dựng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN TCEN,"Tầng 7, Tòa nhà COMA, số 125D Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",P.HCNS,25-99,Cổ phần
Giám sát kinh doanh (SS) (Vĩnh Phúc),['Vĩnh Phúc'],04/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Thực phẩm & Đồ uống",Nhân viên chính thức,26 Tr - 30 Tr VND,2 - 3 Năm,Trưởng nhóm / Giám sát,02/01/2025,,,,,
Nhân viên đấu thầu cơ điện (Làm việc tại Hà Nội),['Hà Nội'],04/12/2024,"Điện / Điện tử / Điện lạnh , Xây dựng",Nhân viên chính thức,12 Tr - 18 Tr VND,Trên 2 Năm,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN TCEN,"Tầng 7, Tòa nhà COMA, số 125D Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",P.HCNS,25-99,Cổ phần
Kỹ sư giám sát cơ điện HVAC (Điều hòa không khí và thông gió),['Hà Nội'],04/12/2024,"Điện / Điện tử / Điện lạnh , Xây dựng",Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,02/01/2025,,,,,
"QUẢN LÝ KINH DOANH (ASM) - KHU VỰC VÙNG 4 (HÀ TĨNH, THANH HÓA, NGHỆ AN, HÀ NAM, NINH BÌNH)",['Thanh Hóa'],04/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Thực phẩm & Đồ uống",Nhân viên chính thức,25 Tr - 40 Tr VND,3 - 5 Năm,Quản lý,02/01/2025,,,,,
Giao dịch viên - Hà Tĩnh - Ninh Bình - TA126,"['Hà Tĩnh', 'Ninh Bình']",04/12/2024,Ngân hàng,Nhân viên chính thức,Cạnh tranh,,Nhân viên,02/01/2025,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần
Chuyên viên Quản lý hiệu suất(RB) - QLTC - MSB - 1F318,['Hà Nội'],04/12/2024,Ngân hàng,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,02/01/2025,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN HÀNG HẢI VIỆT NAM (MSB),"Tầng 26, ROX Tower, 54A Nguyễn Chí Thanh, Đống Đa, Hà Nội",Bộ phận Tuyển dụng MSB,5.000-9.999,Cổ phần
Nhân viên Kiểm toán nội bộ,['Đà Nẵng'],04/12/2024,Kế toán / Kiểm toán,Nhân viên chính thức,12 Tr - 15 Tr VND,Trên 2 Năm,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐÈO CẢ,"32 Thạch Thị Thanh, P. Tân Định, Quận 1, TP. HCM",BP. Tuyển dụng,5.000-9.999,Cổ phần
Kỹ Sư Hiện Trường,['Hà Nội'],04/12/2024,"Kiến trúc , Xây dựng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN SONG TRANG VIỆT,"Ô B2, Lô BT05 Khu đô thị mới Việt Hưng, Đường Thép Mới, P.Giang Biên, Q.Long Biên, TP. Hà Nội",Hà Thị Dung,10-20,Cổ phần
Senior Product Developer-Utility Footwear,['Phnompenh'],04/12/2024,"Hóa học , Sản xuất / Vận hành sản xuất , Dệt may / Da giày / Thời trang",Nhân viên chính thức,Cạnh tranh,8 - 10 Năm,Nhân viên,02/01/2025,VĂN PHÒNG ĐẠI DIỆN ROFU SINGAPORE PTE. LTD. TẠI THÀNH PHỐ HỒ CHÍ MINH,"Phòng 02, tầng 18, tòa nhà Bitexco Financial Tower, số 02, đường Hải Triều, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",HR,25-99,100% vốn nước ngoài
Nhân Viên Phòng Đấu Thầu,['Hà Nội'],04/12/2024,"Hành chính / Thư ký , Kiến trúc , Xây dựng",Nhân viên chính thức,7 Tr - 12 Tr VND,,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN LIÊN DOANH THÁI BÌNH DƯƠNG,"Tầng 4, số 24-26 ngõ 50 Nguyễn Hữu Thọ (Sau tòa Hudland), P. Hoàng Liệt, Hoàng Mai, HN",NGÁT,,Cổ phần
Quản Lý Khối Lượng,"['Kiên Giang', 'Quảng Ninh']",04/12/2024,"Sản xuất / Vận hành sản xuất , Thu mua / Vật tư , Xây dựng",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN LIÊN DOANH THÁI BÌNH DƯƠNG,"Tầng 4, số 24-26 ngõ 50 Nguyễn Hữu Thọ (Sau tòa Hudland), P. Hoàng Liệt, Hoàng Mai, HN",NGÁT,,Cổ phần
Nhân Viên Digital Marketing,['Hà Nội'],04/12/2024,"Tiếp thị / Marketing , Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,12 Tr - 17 Tr VND,,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN GREEN TRAVEL VIỆT NAM,"Số 27, Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",HR,,Cổ phần
Chuyên Viên chạy ads,['Hà Nội'],04/12/2024,"Tiếp thị / Marketing , Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,12 Tr - 17 Tr VND,,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN GREEN TRAVEL VIỆT NAM,"Số 27, Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",HR,,Cổ phần
Giáo viên Toán THCS - Thu nhập upto 18-25 triệu,['Hà Nội'],04/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,18 Tr - 25 Tr VND,1 - 2 Năm,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN GIÁO DỤC HMT VIỆT NAM,"Số 4 ngõ 44/1 Đỗ Quang, Trung Hòa, Cầu Giấy, Hà Nội",Nguyễn Thị Định,25-99,Cổ phần
[ĐÀ LẠT] - KỸ SƯ MEP,['Lâm Đồng'],04/12/2024,"Điện / Điện tử / Điện lạnh , Xây dựng",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Nhân viên,02/01/2025,CÔNG TY CP TẬP ĐOÀN ĐẦU TƯ HOÀNG GIA VIỆT NAM,"600 Điện Biên Phủ, Phường 22, Quận Bình Thạnh",Ms. Thuong,500-999,Trách nhiệm hữu hạn
Quản Lý Trung Tâm Anh Ngữ [Gia Kiệm - Đồng Nai],['Đồng Nai'],04/12/2024,"Dịch vụ khách hàng , Giáo dục / Đào tạo , Quản lý điều hành",Nhân viên chính thức,15 Tr - 20 Tr VND,1 - 2 Năm,Quản lý,02/01/2025,CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,500-999,Cổ phần
FIELD FORCE TRAINING MANAGER (PHARMA BACKGROUND),[],,,,,,,,,,,,
[PHENIKAA GROUP] Trưởng nhóm Kiểm Toán Nội Bộ,['Hà Nội'],04/12/2024,"Kế toán / Kiểm toán , Tài chính / Đầu tư , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,"Trên 1,200 USD",2 - 5 Năm,Trưởng nhóm / Giám sát,02/01/2025,,,,,
Nhân Viên Tư Vấn Tuyển Sinh/Sales/Kinh Doanh - Khu Vực Bình Dương,['Bình Dương'],04/11/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,15 Tr - 30 Tr VND,1 - 2 Năm,Nhân viên,03/12/2024,ILA VIỆT NAM,"The Crest Residence, số 15, đường Trần Bạch Đằng, phường Thủ Thiêm, thành phố Thủ Đức, Thành phố Hồ Chí Minh.",ILA VietNam,100-499,100% vốn nước ngoài
[C7] Tuyển Dụng Nhân Viên Kiểm Duyệt Hồ Sơ Khách Hàng Sử Dụng Dịch Vụ Viettel Thông Qua Hình Ảnh,['Hà Nội'],04/12/2024,"Chứng khoán , Dược phẩm , Trắc địa / Địa Chất",Nhân viên chính thức,7 Tr - 9 Tr VND,,Nhân viên,02/01/2025,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài
Nhân Viên Thiết Kế Đồ Họa Đi làm Ngay,['Hà Nội'],04/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Tổ chức sự kiện , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,13 Tr - 17 Tr VND,,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN QUẢNG CÁO VÀ HỘI CHỢ TRIỂN LÃM C.I.S VIỆT NAM,"Số 112, nhà A3, Đầm Trấu, Phường Bạch Đằng, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",C.I.S Vietnam,100-499,Cổ phần
Nhân Viên Thiết Kế 3D Không Yêu Cầu Kinh Nghiệm,['Hà Nội'],04/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Kiến trúc , Mới tốt nghiệp / Thực tập",Nhân viên chính thức,13 Tr - 19 Tr VND,,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN QUẢNG CÁO VÀ HỘI CHỢ TRIỂN LÃM C.I.S VIỆT NAM,"Số 112, nhà A3, Đầm Trấu, Phường Bạch Đằng, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",C.I.S Vietnam,100-499,Cổ phần
Nhân Viên Thiết Kế 3D Gấp,['Hà Nội'],04/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Kiến trúc , Mới tốt nghiệp / Thực tập",Nhân viên chính thức,13 Tr - 19 Tr VND,,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN QUẢNG CÁO VÀ HỘI CHỢ TRIỂN LÃM C.I.S VIỆT NAM,"Số 112, nhà A3, Đầm Trấu, Phường Bạch Đằng, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",C.I.S Vietnam,100-499,Cổ phần
[HR] Chuyên gia cao cấp/ Chuyên gia Đào tạo,['Hà Nội'],04/12/2024,"Ngân hàng , Nhân sự , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,7 - 10 Năm,Trưởng nhóm / Giám sát,02/01/2025,CÔNG TY TÀI CHÍNH TNHH MB SHINSEI (MCREDIT),"Tầng 9 -12, Tòa nhà MB, 21 Cát Linh, Quận Đống Đa, TP Hà Nội.",Phòng Thu Hút Nhân Tài - Khối QTNNL,,Liên doanh
Giáo Viên Tiếng Anh Mầm non giờ hành chính [Dĩ An -Thủ Đức],['Bình Dương'],04/12/2024,"Giáo dục / Đào tạo , Biên phiên dịch",Nhân viên chính thức,8 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,02/01/2025,CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,500-999,Cổ phần
CHUYÊN VIÊN PHÁT TRIỂN KHÁCH HÀNG ƯU TIÊN( CN VĨNH LONG),['Vĩnh Long'],04/12/2024,Ngân hàng,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
[C7] Tuyển Nhân Viên Telesale Dự Án Viettel,['Hà Nội'],04/12/2024,"Chứng khoán , Dược phẩm , Trắc địa / Địa Chất",Nhân viên chính thức,Cạnh tranh,,Nhân viên,02/01/2025,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài
"[C7] Tuyển Dụng Nhân Viên Tư Vấn Khách Hàng Dự Án Ngân Hàng Quốc Tế Singapore UOB (Không Yêu Cầu Tiếng Anh, Kinh Nghiệm, Bằng Cấp)",['Hà Nội'],04/12/2024,"Hàng hải , Nhân sự , Xây dựng",Nhân viên chính thức,7 Tr - 15 Tr VND,,Nhân viên,02/01/2025,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài
Chuyên viên thiết kế,['Long An'],04/12/2024,Mỹ thuật / Nghệ thuật / Thiết kế,Nhân viên chính thức,Cạnh tranh,3 - 4 Năm,Nhân viên,02/01/2025,HR VIETNAM’S ESS CLIENT,"Pasteur Tower, 139 Pasteur street, Dist. 3",Admin,,100% vốn nước ngoài
[A2] TUYỂN DỤNG TỔNG ĐÀI VIÊN DỊCH VỤ MẠNG CỐ ĐỊNH CHO NHÀ MẠNG VIETTEL,['Hà Nội'],04/12/2024,"Bán hàng / Kinh doanh , Sản xuất / Vận hành sản xuất , Tư vấn",Nhân viên chính thức,7 Tr - 9 Tr VND,,Nhân viên,02/01/2025,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài
Chuyên viên/Chuyên viên cao Phát triển phần mềm số hóa quy trình nghiệp vụ - K.CNTT,['Hà Nội'],04/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
Cloud Engineering & DevSecOps,['Hà Nội'],04/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
T24 CORE BANKING DEVOPS ENGINEER,['Hà Nội'],04/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
"CV/CVCC PHÁT TRIỂN HỆ THỐNG TÍCH HỢP, THANH TOÁN",['Hà Nội'],04/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
Data Governance,['Hà Nội'],04/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
Chuyên Viên Phát Triển Đối Tác,['Hà Nội'],04/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,Trên 20 Tr VND,Trên 1 Năm,Nhân viên,02/01/2025,BỆNH VIỆN ĐA KHOA HÀ NỘI,"29 Hàn Thuyên, Hai Bà Trưng, Hà Nội",Phòng Nhân Sự,500-999,Cổ phần
Data Engineering,['Hà Nội'],04/11/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,03/12/2024,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
Senior Data Engineering,['Hà Nội'],04/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
Data Analysis & Data Science,['Hà Nội'],04/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
Trưởng phòng Marketing BĐS,['Hà Nội'],04/12/2024,"Tiếp thị / Marketing , Quản lý điều hành , Bất động sản",Nhân viên chính thức,Trên 20 Tr VND,3 - 5 Năm,Quản lý,02/01/2025,CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN VHA,"Tầng 5 Khu Văn phòng, Tòa nhà Hỗn hợp CT4 Vimeco, lô H1, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Phòng Nhân Sự,25-99,Cổ phần
Senior Data Analysis & Data Science,['Hà Nội'],04/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
Finance Management System Development,['Hà Nội'],04/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
Quản Lý Hiện Trường Sản Xuất (Tiếng Trung) – Shopfloor Control Management (Chinese Proficiency),['Long An'],04/12/2024,"Sản xuất / Vận hành sản xuất , Dệt may / Da giày / Thời trang , Cơ khí / Ô tô / Tự động hóa",Nhân viên chính thức,15 Tr - 20 Tr VND,3 - 5 Năm,Quản lý,02/01/2025,CÔNG TY TNHH GIẦY CHINGLUH VIỆT NAM,KCN Thuận Đạo - Bến Lức - Long An,Phòng Nhân Sự,20.000-49.999,Trách nhiệm hữu hạn
Senior Finance Management System Development,['Hà Nội'],04/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
Chuyên Viên Digital Marketing,['Hà Nội'],04/12/2024,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,02/01/2025,CÔNG TY TNHH WELLNESS LIFESTYLE,"Tầng 2, CT2, Khu trung tâm hành chính mới Hà Đông, Phường Hà Cầu, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",Anh Minh,25-99,Trách nhiệm hữu hạn
Chuyên viên Vận hành ứng dụng hạ tầng doanh nghiệp,['Hà Nội'],04/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
T24 CORE BANKING DEVOPS ENGINEER,['Hà Nội'],04/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
Cloud Engineering & DevSecOps,['Hà Nội'],04/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
Kỹ Thuật Khai Thác Khuôn Mẫu | PCC Molding Engineering - Tooling Engineering,['Long An'],04/12/2024,"Sản xuất / Vận hành sản xuất , Dệt may / Da giày / Thời trang , Mỹ thuật / Nghệ thuật / Thiết kế",Nhân viên chính thức,13 Tr - 18 Tr VND,3 - 5 Năm,Nhân viên,02/01/2025,CÔNG TY TNHH GIẦY CHINGLUH VIỆT NAM,KCN Thuận Đạo - Bến Lức - Long An,Phòng Nhân Sự,20.000-49.999,Trách nhiệm hữu hạn
"CV/CVCC PHÁT TRIỂN HỆ THỐNG TÍCH HỢP, THANH TOÁN",['Hà Nội'],04/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,02/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
Quản lý vận hành tòa nhà,['Quảng Ninh'],04/12/2024,"Quản lý điều hành , Bất động sản , Ngành khác",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Quản lý,02/01/2025,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN HỒNG QUÂN,"Tầng 3 – CT1, tòa nhà E4 Yên Hòa Park View, số 3 Vũ Phạm Hàm, phường Yên Hòa, quận Cầu Giấy, TP Hà Nội.",Công ty Cổ phần Đầu tư và Phát triển Hồng Quân,100-499,Cổ phần
Trưởng Phòng Đào Tạo Và Phát Triển – Learning & Training Development Lead,['Long An'],04/12/2024,"Giáo dục / Đào tạo , Quản lý điều hành , Nhân sự",Nhân viên chính thức,Cạnh tranh,4 - 5 Năm,Trưởng nhóm / Giám sát,02/01/2025,CÔNG TY TNHH GIẦY CHINGLUH VIỆT NAM,KCN Thuận Đạo - Bến Lức - Long An,Phòng Nhân Sự,20.000-49.999,Trách nhiệm hữu hạn
Nhân Viên Kỹ Thuật Tòa Nhà,['Hà Nội'],04/12/2024,"Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,9 Tr - 11 Tr VND,1 - 5 Năm,Nhân viên,02/01/2025,TẬP ĐOÀN BRG – CÔNG TY CP,"Số 198 Trần Quang Khải, phường Lý Thái Tổ, quận Hoàn Kiếm, thành phố Hà Nội, Việt Nam",BRG Group,20.000-49.999,Cổ phần
Nhân Viên RnD (Ngành thực phẩm),['Hà Nội'],04/12/2024,"Thực phẩm & Đồ uống , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,13 Tr - 17 Tr VND,2 - 3 Năm,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN THỰC PHẨM THIÊN VƯƠNG,"Số 30 Nguyễn Khang, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Ms Ngân,100-499,Cổ phần
Giám Sát Hiện Trường Xây dựng (Hoà Bình),"['Lào Cai', 'Hòa Bình']",04/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Xây dựng",Nhân viên chính thức,15 Tr - 20 Tr VND,Trên 1 Năm,Nhân viên,02/01/2025,TỔNG CÔNG TY CỔ PHẦN CÔNG TRÌNH VIETTEL,"Số 6, đường Phạm Văn Bạch, phường Yên Hòa, quận Cầu Giấy, TP Hà Nội",Phòng Tổ chức Lao động,10.000-19.999,Cổ phần
Kiểm toán viên,['Hà Nội'],04/12/2024,"Tư vấn , Kế toán / Kiểm toán",Nhân viên chính thức,18 Tr - 23 Tr VND,Trên 4 Năm,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐÈO CẢ,"32 Thạch Thị Thanh, P. Tân Định, Quận 1, TP. HCM",BP. Tuyển dụng,5.000-9.999,Cổ phần
