Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động
Chuyên viên chương trình Tiếng Việt Trung Học ( Hiệu Phó Chuyên Môn),['Hồ Chí Minh'],22/11/2024,"Giáo dục / Đào tạo , Quản lý điều hành",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Trưởng nhóm / Giám sát,21/12/2024,CÔNG TY CP GIÁO DỤC QUỐC TẾ VIỆT ÚC,"594 Ba Tháng Hai, P.14, Q.10, TP.HCM",HR Dept.,1.000-4.999,Cổ phần
Editor _ English text book (Expat or native english speaker only),['Hồ Chí Minh'],21/11/2024,"Giáo dục / Đào tạo , Biên phiên dịch",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,20/12/2024,TẬP ĐOÀN GIÁO DỤC ĐẠI TRƯỜNG PHÁT,"168 Phan Văn Trị, Phường 5, Quận Gò Vấp, Thành phố Hồ Chí Minh",Phòng Nhân sự,500-999,Trách nhiệm hữu hạn
Chuyên viên Quan hệ Khách hàng - TNEX Finance - 3Q044,"['Đà Nẵng', 'Hồ Chí Minh', 'Đồng Nai']",21/11/2024,"Bán hàng / Kinh doanh , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,,Nhân viên,20/12/2024,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN HÀNG HẢI VIỆT NAM (MSB),"Tầng 26, ROX Tower, 54A Nguyễn Chí Thanh, Đống Đa, Hà Nội",Bộ phận Tuyển dụng MSB,5.000-9.999,Cổ phần
Business Intelligence Manager,['Hồ Chí Minh'],21/11/2024,"Ngân hàng , Bảo hiểm , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,5 - 6 Năm,Quản lý,20/12/2024,CÔNG TY CỔ PHẦN GIẢI PHÁP THANH TOÁN SỐ (ỨNG DỤNG MFAST),"Tầng 2, Toà Nhà Athena, 146-148 Cộng Hoà, Phường 12, Quận Tân Bình",HR. Dept,100-499,Cổ phần
Head of Engineering,['Hồ Chí Minh'],22/11/2024,"Quản lý điều hành , CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,7 - 10 Năm,Quản lý,21/12/2024,INDO TRANS LOGISTICS,"52 Trường Sơn, P. 2, Q. Tân Bình, HCMC",HR Department,,Cổ phần
NHÂN VIÊN TELESALES - THU NHẬP HẤP DẪN 20-30 TRIỆU (CHỈ LÀM GIỜ HÀNH CHÍNH),['Hồ Chí Minh'],22/11/2024,"Bán hàng / Kinh doanh , Y tế / Chăm sóc sức khỏe , Dược phẩm",Nhân viên chính thức,20 Tr - 30 Tr VND,3 - 5 Năm,Nhân viên,21/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ DƯỢC PHẨM HTP,"242 Cộng Hòa, phường 12, quận Tân Bình, TP.HCM",Phòng nhân sự,100-499,Cổ phần
Nhân viên quầy vé khu vui chơi trẻ em tại Vincom Quận 10 TP. HCM,['Hồ Chí Minh'],18/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Lao động phổ thông",Nhân viên chính thức,"6,5 Tr - 7 Tr VND",Trên 1 Năm,Nhân viên,17/12/2024,CÔNG TY TNHH KHÔNG GIAN VUI CHƠI,"Phòng 710, Lầu 7, Tòa nhà Saigon Paragon, số 03, Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Ms. Nguyễn My,100-499,100% vốn nước ngoài
NHÂN VIÊN VẬN HÀNH MÁY,['Hồ Chí Minh'],19/11/2024,"Bảo trì / Sửa chữa , Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,"7,5 Tr - 12 Tr VND",Chưa có kinh nghiệm,Nhân viên,18/12/2024,CÔNG TY TNHH TAISUN VIỆT NAM,"Lô A1-6, Đường N5, KCN Tây Bắc Củ Chi",Phòng Nhân Sự,500-999,100% vốn nước ngoài
Giám đốc Phòng Quản lý Khách hàng ưu tiên,['Hồ Chí Minh'],17/11/2024,"Ngân hàng , Bảo hiểm , Tài chính / Đầu tư",Nhân viên chính thức,Trên 25 Tr VND,Trên 2 Năm,Quản lý,16/12/2024,,,,,
NHÂN VIÊN KỸ THUẬT BẢO TRÌ TIỆN ÍCH,['Hồ Chí Minh'],03/12/2024,Điện / Điện tử / Điện lạnh,Nhân viên chính thức,8 Tr - 9 Tr VND,1 - 2 Năm,Nhân viên,17/12/2024,CÔNG TY CỔ PHẦN DƯỢC PHẨM 3/2,"Địa chỉ 601 Cách Mạng Tháng Tám, Phường 15, Quận 10, Thành phố Hồ Chí Minh",PHÒNG TỔ CHỨC HÀNH CHÍNH,,Cổ phần
